60;30
'93';0.2000;0.2000
'9370, 9377, 9379';0.2000;0.2000
'355';0.0830;0.0830
'35542';0.0830;0.0830
'35538, 35568, 35569';0.1700;0.1700
'213';0.1100;0.1100
'2135, 2136, 2137, 21390, 21391, 21392, 21393';0.1200;0.1200
'1684, 684';0.0700;0.0700
'376';0.0330;0.0330
'3763, 3764, 3766';0.2150;0.2150
'244';0.1100;0.1100
'24491, 24492, 24495';0.1800;0.1800
'1264';0.2000;0.2000
'6721';1.0000;1.0000
'1268';0.1055;0.1055
'1268404, 1268406, 1268409, 1268464, 1268480, 1268481, 1268686, 126872, 126873, 126893';0.1000;0.1000
'54';0.0192;0.0192
'5411';0.0095;0.0095
'549';0.2000;0.2000
'374';0.0800;0.0800
'3747, 3749';0.1500;0.1500
'297';0.1700;0.1700
'61';0.0135;0.0135
'61261, 61262';0.0110;0.0110
'6138, 6139';0.0110;0.0110
'6128, 6129';0.0110;0.0110
'6114, 6115, 6116, 6117, 6118, 6119, 614, 615';0.1700;0.1700
'43';0.0110;0.0100
'434';0.0110;0.0100
'432';0.0110;0.0100
'436';0.0110;0.0100
'433';0.0110;0.0100
'435';0.0110;0.0100
'437';0.0110;0.0100
'431';0.0110;0.0100
'43664, 43680';0.0980;0.0980
'43660';0.1850;0.1850
43699;0.1250;0.1250
'43650';0.1190;0.1190
436888;0.1250;0.1250
'43676';0.1190;0.1190
'43681';0.1250;0.1250
'4350, 4357, 4359, 43720, 43780';0.0140;0.0100
'994';0.1400;0.1400
'99450, 99455';0.1450;0.1450
'1242';0.0300;0.0300
'973';0.1200;0.1200
'9733, 9739';0.1180;0.1180
'880';0.1200;0.1200
'8802';0.0800;0.0800
'8801';0.1200;0.1200
'1246';0.1800;0.1800
'375';0.1750;0.1750
'375172, 375173, 375175';0.1750;0.1750
'37529, 37544';0.2200;0.2200
'32';0.0128;0.0128
'323';0.0130;0.0130
'322';0.0122;0.0122
'3217, 3244, 3245, 3295';0.2100;0.2100
'3249';0.2100;0.2100
'3248';0.2250;0.2250
'3247, 3275';0.1600;0.1600
3270;0.0128;0.0128
'3277, 3290';0.0200;0.0200
'501';0.1800;0.1800
'229';0.0700;0.0700
'1441';0.0520;0.0520
'975';0.1800;0.1800
'591';0.1800;0.1800
59122;0.0400;0.0400
'5911, 5917';0.0900;0.0900
'387';0.1150;0.1150
'38751';0.1150;0.1150
'38733';0.1150;0.1150
'387492, 387493, 387494, 38750, 38752, 38753, 38754, 38755, 38756, 38757, 38758, 38759';0.1150;0.1150
'38761, 38762, 38766, 38790';0.2000;0.2000
'38763';0.2000;0.2000
'38765';0.2000;0.2000
'267';0.1700;0.1700
'2677';0.2000;0.2000
'55';0.1699;0.1699
'55310, 55311, 55312, 55313, 55314, 55315, 55316';0.0250;0.0250
'55210, 55211, 55212, 55213, 55214, 55215';0.0350;0.0350
'55110, 55111, 55112, 55113, 55114, 55115, 55116';0.0400;0.0400
